Plant_ID,total_root_dry_cal,shoot_dry_wt,total_dry_biomass
RS393,0.0958536,NA,NA
RS361,0.08094304000000001,NA,NA
RS530,0.0745528,NA,NA
RS366,0.10011376,0.068,0.16811376
RS389,0.05538208,0.05,0.10538208
RS419,0.05112192,0.049,0.10012192
RS073,0.059642240000000006,0.056,0.11564224000000001
RS147,0.07029264,0.067,0.13729264000000002
RS056,0.07242272,0.061,0.13342272
RS456,0.09372352,0.052,0.14572352
RS194,0.07668288,NA,NA
RS226,0.09798368,NA,NA
RS314,0.05112192,NA,NA
RS563,0.08307312,NA,NA
RS159,0.059642240000000006,NA,NA
RS160,0.03834144,NA,NA
RS123,0.11502432000000001,NA,NA
RS542,0.10437392,NA,NA
RS240,0.07668288,NA,NA
RS468,NA,NA,NA
RS470,0.07242272,0.051,0.12342271999999999
RS392,0.08307312,0.064,0.14707312
RS200,0.12141456000000002,0.1,0.22141456000000004
RS318,0.14484544,0.094,0.23884544
RS066,0.11076416,0.082,0.19276416000000002
RS404,0.07029263999999999,0.069,0.13929264
RS486,0.08733328000000001,0.064,0.15133328000000001
RS368,0.08733328000000001,0.087,0.17433328
RS293,0.11928448000000001,0.082,0.20128448000000002
RS446,0.08094304000000001,0.055,0.13594304000000001
RS244,0.06816256,0.067,0.13516256
RS287,0.10011376,NA,NA
RS213,0.053252,NA,NA
RS461,0.12141456000000002,NA,NA
RS566,0.11289424,NA,NA
RS243,0.1171544,NA,NA
RS168,0.08307312,NA,NA
RS018,0.10863408000000001,0.084,0.19263408
RS075,0.13206496,0.09,0.22206496
RS151,0.14271536,0.082,0.22471536000000003
RS313,0.14058528,0.074,0.21458528
RS047,0.12141456000000002,0.077,0.19841456000000002
RS186,0.12567472,0.078,0.20367471999999998
RS284,0.13206496,0.059,0.19106496
RS230,0.0958536,0.069,0.1648536
RS195,0.15123567999999998,0.115,0.26623568
RS436,0.14058528,0.099,0.23958528
RS592,0.0852032,0.068,0.1532032
RS247,0.08733328000000001,0.054,0.14133328
RS372,0.12567472000000002,0.071,0.19667472000000003
RS155,0.09372352000000002,0.069,0.16272352
RS600,0.09798367999999999,0.06,0.15798368
RS255,0.11502432000000001,0.086,0.20102432
RS238,0.0745528,0.066,0.1405528
RS520,0.13632512,0.053,0.18932511999999999
RS457,0.05112192,0.058,0.10912192000000001
RS205,0.13419504000000002,0.077,0.21119504
RS578,0.08307312,0.056,0.13907312
RS567,0.10224384,0.073,0.17524383999999998
RS227,0.0958536,0.073,0.1688536
RS354,0.12141456000000002,0.099,0.22041456000000004
RS574,0.07881296,0.058,0.13681296
RS007,0.11289424,0.089,0.20189424
RS165,0.1171544,0.096,0.21315440000000002
RS074,0.0852032,0.056,0.1412032
RS328,0.10011376,0.074,0.17411376
RS575,0.1491056,NA,NA
RS016,0.0958536,0.076,0.1718536
RS133,0.10011376000000001,0.079,0.17911376
RS141,0.07242272,0.057,0.12942272
RS121,0.06603248,0.094,0.16003248
RS184,0.12780480000000002,0.08,0.2078048
RS161,0.15549584,0.08,0.23549584
RS298,0.14697552,0.097,0.24397552
RS397,0.08307312,0.07,0.15307312
RS189,0.04686176,0.047,0.09386176
RS385,0.08094304000000001,0.071,0.15194304
RS150,0.06816256,0.04,0.10816255999999999
RS275,0.08946335999999999,0.082,0.17146336
RS406,0.10011376,0.073,0.17311376
RS381,0.0852032,0.063,0.1482032
RS562,0.10224384,0.079,0.18124384
RS280,0.12354464000000001,0.063,0.18654464
RS348,0.14697552,0.073,0.21997551999999998
RS523,0.09159344,0.073,0.16459343999999998
RS517,0.07881296,0.054,0.13281296
RS488,0.0958536,0.061,0.15685359999999998
RS124,0.08946336,0.068,0.15746336
RS505,0.0745528,0.07,0.1445528
RS351,0.08946336,0.07,0.15946336
RS551,0.12354464000000001,0.078,0.20154464
RS514,0.11289424,0.088,0.20089424
RS221,0.08733328000000001,0.08,0.16733328000000003
RS528,NA,0.031,NA
RS322,0.06603248,0.055,0.12103248
RS300,0.10863408000000001,0.067,0.17563408000000003
RS325,0.06390240000000001,0.066,0.12990240000000003
RS308,0.13419504000000002,0.084,0.21819504
RS026,0.08094304000000001,0.064,0.14494304000000002
RS234,0.07668288,0.062,0.13868288
RS549,0.06816256,0.07,0.13816256
RS450,0.07242272,0.065,0.13742272
RS273,0.11502432000000001,0.078,0.19302432000000003
RS458,0.11502432000000001,0.067,0.18202432000000002
RS095,0.12780480000000002,0.086,0.21380480000000002
RS518,0.07668288,0.075,0.15168288
RS145,0.10224384,0.072,0.17424383999999998
RS558,0.13206496,0.096,0.22806496
RS190,0.14484544,0.088,0.23284544
RS434,0.1171544,0.082,0.1991544
RS076,0.12141456000000002,0.08,0.20141456000000002
RS526,0.10437392,0.071,0.17537392
RS083,0.0745528,0.055,0.1295528
RS111,0.16188608000000002,0.095,0.25688608
RS482,0.18105680000000002,0.098,0.2790568
RS093,0.14484544,0.111,0.25584544
RS241,0.07668288,0.036,0.11268287999999999
RS112,0.06816256,0.068,0.13616256
RS197,0.14271535999999999,0.089,0.23171535999999998
RS426,0.12993488,0.103,0.23293488
RS440,0.08094304000000001,0.063,0.14394304000000002
RS054,0.17253648000000002,0.116,0.28853648000000004
RS402,0.06390240000000001,0.041,0.1049024
RS481,0.11076416,0.065,0.17576416
RS228,0.053252,0.034,0.087252
RS271,0.1384552,0.103,0.24145519999999998
RS301,0.059642240000000006,0.062,0.12164224000000001
RS502,0.09159344,0.057,0.14859344
RS181,0.07668288,0.049,0.12568288
RS130,0.029821120000000003,0.033,0.06282112000000001
RS239,0.11076416,0.104,0.21476415999999998
RS129,0.0639024,0.061,0.1249024
RS140,0.15123567999999998,0.103,0.25423567999999996
RS510,0.06603248,0.058,0.12403248
RS044,0.07881296,0.077,0.15581296
RS222,0.07242272000000001,0.06,0.13242272
RS019,0.03834144,0.052,0.09034144
RS583,0.11928448000000001,0.067,0.18628448000000003
RS065,0.12141456000000002,0.082,0.20341456000000002
RS538,0.09372352,0.08,0.17372352000000002
RS013,0.05751216000000001,0.041,0.09851216000000002
RS516,0.08307312,0.057,0.14007312
RS270,0.19596735999999998,0.12,0.31596736
RS407,0.15549584,0.097,0.25249584
RS561,0.05751216000000001,0.069,0.12651216
RS177,0.09372352000000002,0.064,0.15772352
RS540,0.04473168,0.039,0.08373168
RS028,0.07029263999999999,0.068,0.13829264
RS390,0.040471520000000004,0.096,0.13647152
RS022,0.11289424,0.102,0.21489424000000001
RS097,0.09798368,0.065,0.16298368000000002
RS005,0.06390240000000001,0.05,0.11390240000000001
RS525,0.13206496000000004,0.084,0.21606496000000003
RS478,0.08094304000000001,0.066,0.14694304000000002
RS214,0.0958536,0.073,0.1688536
RS316,0.040471520000000004,0.075,0.11547152
RS449,0.0852032,0.057,0.1422032
RS544,0.07668288,0.088,0.16468287999999998
RS587,0.09798368,0.065,0.16298368000000002
RS484,0.05112192,0.039,0.09012192
RS173,0.11502432000000001,0.063,0.17802432
RS245,0.05112192,0.073,0.12412192
RS345,0.14058527999999998,0.103,0.24358527999999996
RS031,0.13206496,0.064,0.19606496
RS483,0.05112192,0.054,0.10512192000000001
RS327,0.09372352,0.069,0.16272352
RS027,0.08733328000000001,0.071,0.15833328000000002
RS409,0.11076416,0.073,0.18376416
RS448,0.0852032,0.066,0.1512032
RS252,0.0852032,0.069,0.1542032
RS469,0.07668288,0.07,0.14668288000000002
RS212,0.07668288,0.078,0.15468288
RS475,0.1384552,0.106,0.24445519999999998
RS423,0.16827632,0.124,0.29227632000000003
RS224,0.04686176,0.066,0.11286176
RS320,0.08094304000000001,0.062,0.14294304000000002
RS307,0.053252,0.059,0.11225199999999999
RS131,0.07881296,0.069,0.14781296
