Harvester,Time,Plant_ID,Uncolonized_roots,Total_root_tips,Colonized_tips,Soil_mass_extraction_tube,Wet_root_mass_env,Wet_root_mass_frozen,Frozen,Wet_root_mass_total,Notes,Wet_shoot_mass,harvesttime,harvest_datetime,env_g,env_soil_wet_g,env_soil_dry_g,soil_wet_g,soil_dry_g,Date,Time_water_potential,Water_potential_negative_MPa,Water_potential_negative_bar,Water_potential_MPa,Water_potential_notes,Batch,Date_harvested,N_level,Water,Spore,soil_moisture_loss,soil_moisture_loss_corrected,soil_moisture_pct,days_since_watering,water_potential_formatted_time,water_potential_lag,lagnumeric,water_potential_corrected
HM,1899-12-31T09:40:00Z,RS517,67,147,80,1.7,0.14000000000000001,0.23,0.40763888888888888,0.35,NA,NA,09:40:00,2022-04-05T09:40:00Z,3.86,46.96,37.33,43.1,33.47,2022-04-05,14:15,2.61,NA,-2.61,very clear,Wet day 14,5 April 2022,high,wet,spore,9.630000000000003,9.630000000000003,22.343387470997687,14,2022-04-05T14:15:00Z,275,275,-1.6919674999999998
HM,1899-12-31T09:50:00Z,RS488,125,125,0,1.25,0.27,0.18,0.41388888888888886,0.45,NA,NA,09:50:00,2022-04-05T09:50:00Z,3.89,53.39,41.88,49.5,37.99,2022-04-05,14:07,1.546,NA,-1.546,very clear,Wet day 14,5 April 2022,high,wet,spore,11.509999999999998,11.509999999999998,23.25252525252525,14,2022-04-05T14:07:00Z,257,257,-0.6880569
HM,1899-12-31T09:59:00Z,RS124,31,133,102,1.75,0.22,0.2,0.42083333333333334,0.43,NA,NA,09:59:00,2022-04-05T09:59:00Z,3.87,45.31,34.73,41.44,30.86,2022-04-05,14:04,2.32,NA,-2.32,very clear,Wet day 14,5 April 2022,high,wet,spore,10.579999999999998,10.579999999999998,25.530888030888025,14,2022-04-05T14:04:00Z,245,245,-1.5021164999999996
HM,1899-12-31T10:10:00Z,RS505,36,126,90,1.54,0.22,0.13,0.42777777777777776,0.35,NA,NA,10:10:00,2022-04-05T10:10:00Z,3.85,42.37,34.73,38.52,30.88,2022-04-05,13:57,2.709,NA,-2.709,very clear,Wet day 14,5 April 2022,high,wet,spore,7.640000000000004,7.640000000000004,19.833852544132927,14,2022-04-05T13:57:00Z,227,227,-1.9512059000000002
HM,1899-12-31T10:20:00Z,RS351,35,153,118,1.36,0.19,0.23,0.43472222222222223,0.43,NA,NA,10:20:00,2022-04-05T10:20:00Z,3.88,50.37,39.99,46.49,36.11,2022-04-05,13:53,2.326,NA,-2.326,very clear,Wet day 14,5 April 2022,high,wet,spore,10.380000000000003,10.380000000000003,22.327382232738227,14,2022-04-05T13:53:00Z,213,213,-1.6149421
LB,1899-12-31T10:20:00Z,RS551,77,240,163,1.27,0.28000000000000003,0.3,0.4513888888888889,NA,nice rhizomorphs,NA,10:20:00,2022-04-05T10:20:00Z,3.87,38.1,33.31,34.23,29.44,2022-04-05,13:50,1.803,NA,-1.803,very clear,Wet day 14,5 April 2022,high,wet,spore,4.789999999999996,4.789999999999996,13.993572889278399,14,2022-04-05T13:50:00Z,210,210,-1.1019569999999999
LB,1899-12-31T10:55:00Z,RS514,"NA","NA","NA",1.68,0.28999999999999998,0.24,0.46527777777777779,NA,NA,NA,10:55:00,2022-04-05T10:55:00Z,3.74,43.89,33.99,40.15,30.25,2022-04-05,13:35,1.426,NA,-1.426,very clear,Wet day 14,5 April 2022,high,wet,NM,9.899999999999999,9.899999999999999,24.65753424657534,14,2022-04-05T13:35:00Z,160,160,-0.8918719999999999
LB,1899-12-31T11:16:00Z,RS221,65,188,123,1.28,0.16,0.25,0.4861111111111111,NA,big cluster of colonized roots,NA,11:16:00,2022-04-05T11:16:00Z,3.79,41.95,34.31,38.16,30.52,2022-04-05,13:27,1.729,NA,-1.729,very clear,Wet day 14,5 April 2022,high,wet,spore,7.639999999999997,7.639999999999997,20.020964360586994,14,2022-04-05T13:27:00Z,131,131,-1.2916827
LB,1899-12-31T11:47:00Z,RS528,78,93,15,1.33,"NA",0.19,0.50277777777777777,NA,"very small root system, only one EM clump - did not dry",NA,11:47:00,2022-04-05T11:47:00Z,3.84,40.74,33.37,36.9,29.53,2022-04-05,13:24,2.085,NA,-2.085,very clear,Wet day 14,5 April 2022,high,wet,spore,7.3699999999999974,7.3699999999999974,19.972899728997284,14,2022-04-05T13:24:00Z,97,97,-1.7611849
LB,1899-12-31T14:50:00Z,RS322,"NA","NA","NA",1.51,0.15,0.16,0.61805555555555558,NA,NA,NA,14:50:00,2022-04-05T14:50:00Z,3.82,48.8,37.38,44.98,33.56,2022-04-05,18:01,2.012,NA,-2.012,very clear,Wet day 14,5 April 2022,high,wet,NM,11.419999999999995,11.419999999999995,25.389061805246765,14,2022-04-05T18:01:00Z,191,191,-1.3743847
LB,1899-12-31T14:55:00Z,RS300,"NA","NA","NA",1.85,0.23,0.28000000000000003,0.63194444444444442,NA,NA,NA,14:55:00,2022-04-05T14:55:00Z,3.85,44.69,33.49,40.84,29.64,2022-04-05,17:53,1.405,NA,-1.405,very clear,Wet day 14,5 April 2022,high,wet,NM,11.200000000000003,11.200000000000003,27.424094025465234,14,2022-04-05T17:53:00Z,178,178,-0.8107826
LB,1899-12-31T15:20:00Z,RS325,"NA","NA","NA",1.29,0.17,0.13,0.64583333333333337,NA,NA,NA,15:20:00,2022-04-05T15:20:00Z,3.68,44.56,34.58,40.88,30.9,2022-04-05,17:41,1.201,NA,-1.201,very clear,Wet day 14,5 April 2022,high,wet,NM,9.980000000000004,9.980000000000004,24.412915851272025,14,2022-04-05T17:41:00Z,141,141,-0.7302997
LB,1899-12-31T15:37:00Z,RS308,"NA","NA","NA",1.61,0.28999999999999998,0.34,0.66319444444444442,NA,NA,NA,15:37:00,2022-04-05T15:37:00Z,3.8,42.32,34.22,38.52,30.42,2022-04-05,17:19,2.18,NA,-2.18,very clear,Wet day 14,5 April 2022,high,wet,NM,8.100000000000001,8.100000000000001,21.028037383177573,14,2022-04-05T17:19:00Z,102,102,-1.8394934
MH,1899-12-31T09:42:00Z,RS026,"NA","NA","NA",1.68,0.2,0.18,0.41249999999999998,NA,NA,NA,09:42:00,2022-04-05T09:42:00Z,3.88,39.07,30.45,35.19,26.57,2022-04-05,14:13,0.9,NA,-0.9,very clear,Wet day 14,5 April 2022,high,wet,NM,8.619999999999997,8.619999999999997,24.495595339585105,14,2022-04-05T14:13:00Z,271,271,0.004679300000000053
MH,1899-12-31T10:10:00Z,RS234,"NA","NA","NA",1.89,0.17,0.19,0.42708333333333331,NA,NA,NA,10:10:00,2022-04-05T10:10:00Z,3.9,41.25,32.15,37.35,28.25,2022-04-05,14:01,1.568,NA,-1.568,very clear,Wet day 14,5 April 2022,low,wet,NM,9.100000000000001,9.100000000000001,24.364123159303887,14,2022-04-05T14:01:00Z,231,231,-0.7968527
MH,1899-12-31T10:23:00Z,RS549,"NA","NA","NA",1.89,0.18,0.14000000000000001,0.4375,NA,NA,NA,10:23:00,2022-04-05T10:23:00Z,3.85,42.13,33.66,38.28,29.81,2022-04-05,13:47,1.847,NA,-1.847,very clear,Wet day 14,5 April 2022,high,wet,spore,8.470000000000002,8.470000000000002,22.1264367816092,14,2022-04-05T13:47:00Z,204,204,-1.1659867999999998
MH,1899-12-31T10:36:00Z,RS450,"NA","NA","NA",1.58,0.16,0.18,0.44583333333333336,NA,NA,NA,10:36:00,2022-04-05T10:36:00Z,3.84,47.04,36.18,43.2,32.34,2022-04-05,13:41,1.893,NA,-1.893,very clear,Wet day 14,5 April 2022,low,wet,NM,10.86,10.86,25.13888888888889,14,2022-04-05T13:41:00Z,185,185,-1.2754145000000001
MH,1899-12-31T10:48:00Z,RS273,"NA","NA","NA",1.72,0.28000000000000003,0.26,0.45555555555555555,NA,NA,NA,10:48:00,2022-04-05T10:48:00Z,3.89,42.83,33.66,38.94,29.77,2022-04-05,13:37,1.872,NA,-1.872,very clear,Wet day 14,5 April 2022,high,wet,spore,9.169999999999998,9.169999999999998,23.549049820236256,14,2022-04-05T13:37:00Z,169,169,-1.3078273
MH,1899-12-31T11:03:00Z,RS458,"NA","NA","NA",1.86,0.33,0.21,0.46597222222222223,NA,NA,NA,11:03:00,2022-04-05T11:03:00Z,3.88,45.01,36.38,41.13,32.5,2022-04-05,13:32,2.483,NA,-2.483,very clear,Wet day 14,5 April 2022,low,wet,NM,8.630000000000003,8.630000000000003,20.982251398006326,14,2022-04-05T13:32:00Z,149,149,-1.9855933000000001
MH,1899-12-31T11:17:00Z,RS095,47,228,181,1.77,0.26,0.34,0.48819444444444443,NA,NA,NA,11:17:00,2022-04-05T11:17:00Z,3.91,44,38.34,40.09,34.43,2022-04-05,13:29,1.766,NA,-1.766,very clear,Wet day 14,5 April 2022,high,wet,spore,5.660000000000004,5.660000000000004,14.1182339735595,14,2022-04-05T13:29:00Z,132,132,-1.3253444
