Date,Time_water_potential,Plant_ID,Water_potential_negative_MPa,Water_potential_negative_bar,Water_potential_MPa,Water_potential_notes
4/14/2022,14:13,RS320,0.932,,-0.932,very clear
4/14/2022,14:14,RS027,0.655,,-0.655,very clear
4/14/2022,14:16,RS307,0.921,,-0.921,very clear
4/14/2022,14:37,RS131,0.817,,-0.817,very clear
4/14/2022,14:41,RS448,0.972,,-0.972,very clear
4/14/2022,14:44,RS396,0.793,,-0.793,very clear
4/14/2022,14:46,RS252,0.948,,-0.948,very clear
4/8/2022,13:15,RS525,1.719,,-1.719,very clear
4/8/2022,13:21,RS005,1.148,,-1.148,very clear
4/8/2022,13:24,RS097,2.717,,-2.717,very clear
4/8/2022,13:30,RS228,1.547,,-1.547,very clear
4/8/2022,13:34,RS516,0.696,,-0.696,very clear
4/8/2022,13:36,RS471,2.081,,-2.081,very clear
4/8/2022,13:40,RS019,NA,,#VALUE!,"Unreasonably dry (>8.4??), not measureable"
4/8/2022,13:54,RS140,1.481,,-1.481,very clear
4/8/2022,13:57,RS583,1.085,,-1.085,very clear
4/8/2022,13:59,RS305,1.493,,-1.493,very clear
4/8/2022,14:01,RS510,1.402,,-1.402,very clear
4/8/2022,14:03,RS065,0.925,,-0.925,very clear
4/8/2022,14:05,RS402,1.138,,-1.138,bag not perfectly zipped.
4/8/2022,14:07,RS538,1.374,,-1.374,very clear
4/8/2022,14:10,RS481,2.185,,-2.185,very clear
4/8/2022,14:12,RS044,1.547,,-1.547,very clear
4/8/2022,14:14,RS013,1.372,,-1.372,very clear
4/8/2022,14:17,RS222,2.261,,-2.261,very clear
4/8/2022,15:18,RS129,1.04,,-1.04,very clear
4/8/2022,15:20,RS022,1.365,,-1.365,very clear
4/8/2022,15:25,RS239,1.132,,-1.132,very clear
4/8/2022,15:27,RS130,1.244,,-1.244,very clear
4/8/2022,15:30,RS390,3.548,,-3.548,"one spot of xylem wet. Cut end never wet >6.0, seedling looks dried out/crispy."
4/8/2022,15:37,RS270,1.07,,-1.07,
4/8/2022,15:39,RS271,1.196,,-1.196,
4/8/2022,15:42,RS478,0.902,,-0.902,
4/8/2022,15:44,RS407,1.07,,-1.07,
4/8/2022,15:48,RS214,2.667,,-2.667,
4/8/2022,15:53,RS316,NA,,#VALUE!,">3.3, bad seal but definitely too dry for a good reading. Crispy shoot."
