Suillus Harvest Soil Data,,,,,
,,,,,
ID,env_g,env_soil_wet_g,env_soil_dry_g,soil_wet_g,soil_dry_g
RS484,3.9,46.09,35.55,42.19,31.65
RS458,3.88,45.01,36.38,41.13,32.5
RS587,3.85,36.68,31.94,32.83,28.09
RS544,3.91,41.9,33.3,37.99,29.39
RS478,3.92,41.93,33.85,38.01,29.93
RS214,3.84,38.84,36.62,35,32.78
RS516,3.88,44.24,35.35,40.36,31.47
RS270,3.81,38.32,32.92,34.51,29.11
RS083,3.82,45.34,36.42,41.52,32.6
RS293,3.81,45.23,32.25,41.42,28.44
RS575,3.87,47.4,33.98,43.53,30.11
RS074,3.88,41.59,31.25,37.71,27.37
RS382,3.91,52.44,38.97,48.53,35.06
RS016,3.88,46.11,33.94,42.23,30.06
RS007,3.92,49.61,36.62,45.69,32.7
RS574,3.88,47.76,35.86,43.88,31.98
RS165,3.82,41.58,34.06,37.76,30.24
RS166,3.89,52.31,36.9,48.42,33.01
RS188,3.83,56.52,42.23,52.69,38.4
RS368,3.82,50.31,36.45,46.49,32.63
RS244,3.91,47.59,35.57,43.68,31.66
RS328,3.86,49.6,35.87,45.74,32.01
RS272,3.85,42.22,31.63,38.37,27.78
RS446,3.86,NA,37.5,NA,33.64
RS292,3.9,47.32,33.48,43.42,29.58
RS404,3.87,31.55,37.02,27.68,33.15
RS454,3.91,50.88,35.56,46.97,31.65
RS414,3.81,50.19,32.61,46.38,28.8
RS567,3.41,49.9,33.61,46.49,30.2
RS486,3.82,52.14,36.68,48.32,32.86
RS204,3.81,50.14,35.93,46.33,32.12
RS066,3.8,50.51,35.33,46.71,31.53
RS206,3.85,45.93,33.84,42.08,29.99
RS493,3.83,48.1,33.95,44.27,30.12
RS599,3.88,43.24,34.16,39.36,30.28
RS311,3.84,49.44,33.06,45.6,29.22
RS318,3.9,52.27,37.46,48.37,33.56
RS578,3.87,51.48,38.03,47.61,34.16
RS534,3.92,50.41,32.57,46.49,28.65
RS045,3.91,47.14,33.45,43.23,29.54
RS457,3.87,35.76,33.38,31.89,29.51
RS520,3.92,49.09,33.99,45.17,30.07
RS184,3.87,44.17,32.68,40.3,28.81
RS121,3.89,37.99,36.82,34.1,32.93
RS141,3.85,47.9,35.19,44.05,31.34
RS133,3.85,49.33,37.08,45.48,33.23
RS003,3.86,53.68,41.26,49.82,37.4
RS467,3.9,44.61,33.2,40.71,29.3
RS521,3.85,48,35.7,44.15,31.85
RS220,3.84,58.81,41.99,54.97,38.15
RS146,3.91,49.99,36.47,46.08,32.56
RS343,3.93,48.16,35.5,44.23,31.57
RS585,3.85,48.43,31.84,44.58,27.99
RS348,3.83,54.3,35.6,50.47,31.77
RS280,3.9,52.78,35.1,48.88,31.2
RS381,3.91,51.12,34.15,47.21,30.24
RS562,3.83,49.8,36.44,45.97,32.61
RS503,3.89,33.87,32.49,29.98,28.6
RS413,3.88,49.21,35.03,45.33,31.15
RS416,3.86,49.59,37.31,45.73,33.45
RS201,3.44,57.41,35.97,53.97,32.53
RS432,3.91,36.86,34.26,32.95,30.35
RS399,3.9,36.71,34.29,32.81,30.39
RS546,3.44,60.18,38.26,56.74,34.82
RS208,3.89,42.63,39.12,38.74,35.23
RS573,3.42,62.36,34.83,58.94,31.41
RS418,3.88,40.39,37.35,36.51,33.47
RS353,3.84,40.68,37.67,36.84,33.83
RS073,3.89,38,35.11,34.11,31.22
RS400,3.84,36.87,33.84,33.03,30
RS600,3.62,41.58,30.62,37.96,27
RS099,3.44,58.02,38.3,54.58,34.86
RS143,3.38,53.77,31.8,50.39,28.42
RS276,3.9,40.33,36.33,36.43,32.43
RS217,3.41,56.06,32.02,52.65,28.61
RS298,3.87,46.99,34.91,43.12,31.04
RS275,3.82,49.75,34.66,45.93,30.84
RS296,3.86,44.43,32.74,40.57,28.88
RS590,3.92,52.36,40.02,48.44,36.1
RS017,3.9,50.21,35.62,46.31,31.72
RS507,3.81,42.46,33.08,38.65,29.27
RS161,3.82,45.99,34.09,42.17,30.27
RS397,3.85,32.74,31.41,28.89,27.56
RS029,3.92,47.15,37.49,43.23,33.57
RS189,3.93,49.39,34.05,45.46,30.12
RS489,3.83,43.24,34.87,39.41,31.04
RS406,3.86,50.71,35.04,46.85,31.18
RS150,3.94,50.14,35.04,46.2,31.1
RS385,3.81,50.22,34.32,46.41,30.51
RS116,3.89,49.31,32.95,45.42,29.06
RS498,3.9,46.73,33.64,42.83,29.74
RS378,3.84,45.17,32.46,41.33,28.62
RS259,3.8,46.99,36.29,43.19,32.49
RS360,3.89,47.58,33.54,43.69,29.65
RS136,3.95,36.65,33.09,32.7,29.14
RS274,3.92,39.65,36.89,35.73,32.97
RS453,3.89,41.61,37.08,37.72,33.19
RS169,3.9,56.55,41.29,52.65,37.39
RS279,3.86,38.03,34.93,34.17,31.07
RS056,3.89,37.91,34.28,34.02,30.39
RS102,3.34,39.33,36.41,35.99,33.07
RS191,3.88,39.06,35.07,35.18,31.19
RS366,3.86,39.23,35.35,35.37,31.49
RS447,3.91,NA,30.59,NA,26.68
RS100,3.94,36.2,33.43,32.26,29.49
RS248,3.87,38.48,35.43,34.61,31.56
RS553,3.43,36.7,34.11,33.27,30.68
RS535,3.91,38.33,34.77,34.42,30.86
RS369,3.3,39.38,36.16,36.08,32.86
RS357,3.93,40.16,36.85,36.23,32.92
RS508,3.34,36.83,34.64,33.49,31.3
RS530,3.89,37.35,33.97,33.46,30.08
RS225,3.88,40.62,35.79,36.74,31.91
RS572,3.4,38.83,36.22,35.43,32.82
RS084,3.34,38.68,35.7,35.34,32.36
RS081,3.38,46.91,35.28,43.53,31.9
RS437,3.32,NA,34.12,NA,30.8
RS468,3.84,35.01,32.27,31.17,28.43
RS148,3.89,34.2,31.15,30.31,27.26
RS389,3.89,36.81,33.01,32.92,29.12
RS445,3.89,37.73,35.5,33.84,31.61
RS174,3.84,39.04,35.46,35.2,31.62
RS419,3.92,39.45,35.59,35.53,31.67
RS285,3.89,56.04,40.28,52.15,36.39
RS354,3.95,46.66,32.61,42.71,28.66
RS205,3.85,49.87,36.12,46.02,32.27
RS456,3.87,37.76,34.41,33.89,30.54
RS569,3.39,58.55,36.24,55.16,32.85
RS147,3.9,41.9,37.7,38,33.8
RS281,3.39,60.6,34.49,57.21,31.1
RS431,3.39,56.47,34.17,53.08,30.78
RS533,3.96,44.43,34.6,40.47,30.64
RS211,3.36,38.75,35.01,35.39,31.65
RS500,3.46,59.87,34.53,56.41,31.07
RS319,3.36,57.79,36.54,54.43,33.18
RS588,3.39,56.12,37.78,52.73,34.39
RS499,3.37,66.58,41.68,63.21,38.31
RS256,3.89,36.31,33.55,32.42,29.66
RS388,3.38,59.3,40.22,55.92,36.84
RS531,3.39,63.45,37.37,60.06,33.98
RS410,3.38,64.42,37.45,61.04,34.07
RS581,3.42,34.05,30.84,30.63,27.42
RS255,3.89,46.52,34.35,42.63,30.46
RS???,3.9,53.35,38.29,49.45,34.39
RS463,3.84,46.26,31.75,42.42,27.91
RS178,3.86,53.38,37.21,49.52,33.35
RS582,3.83,46.47,34.17,42.64,30.34
RS238,3.88,49,33.82,45.12,29.94
RS470,3.85,53.55,37.65,49.7,33.8
RS392,3.9,55.79,37.44,51.89,33.54
RS200,3.81,52.58,37.01,48.77,33.2
RS052,3.79,55.06,37.06,51.27,33.27
RS227,1.8,36.7,24.74,34.9,22.94
RS547,3.37,37.17,34.17,33.8,30.8
RS346,3.4,41.62,38.7,38.22,35.3
RS215,3.9,41.44,36.49,37.54,32.59
RS571,3.35,36.55,32.15,33.2,28.8
RS494,3.42,36.94,33.5,33.52,30.08
RS182,3.33,43.35,35.71,40.02,32.38
RS519,3.3,39.43,33.4,36.13,30.1
RS258,3.34,37.35,35.68,34.01,32.34
RS350,3.34,36.33,35.26,32.99,31.92
RS094,3.37,40.09,35.81,36.72,32.44
RS310,3.32,33.81,35.93,30.49,32.61
RS114,3.27,32.27,34.32,29,31.05
RS266,3.32,30.12,32.44,26.8,29.12
RS194,3.28,46.16,37.89,42.88,34.61
RS594,3.31,42.3,31.67,38.99,28.36
RS226,3.34,44.34,37.35,41,34.01
RS085,3.33,34.48,36.8,31.15,33.47
RS294,3.31,37.35,34.65,34.04,31.34
RS252,3.89,39.95,34.88,36.06,30.99
RS173,3.89,37.06,34.71,33.17,30.82
RS345,3.9,38.09,34.59,34.19,30.69
RS031,3.81,32.14,29.66,28.33,25.85
RS409,3.88,38.86,34.38,34.98,30.5
RS131,3.82,39.23,33.47,35.41,29.65
RS245,3.8,45.02,39.17,41.22,35.37
RS396,3.78,38.24,33.57,34.46,29.79
RS448,3.85,39.68,35.03,35.83,31.18
RS469,3.81,41.94,34.63,38.13,30.82
RS423,3.81,35.82,34.11,32.01,30.3
RS475,3.89,40.58,36.67,36.69,32.78
RS212,3.91,40.32,35.78,36.41,31.87
RS223,3.76,37.65,37.13,33.89,33.37
RS307,3.79,43.53,38.44,39.74,34.65
RS327,3.89,42.73,38.88,38.84,34.99
RS320,3.88,37.39,34.58,33.51,30.7
RS027,3.81,41.3,35.32,37.49,31.51
RS483,3.83,41.67,37.97,37.84,34.14
